본부,사업소,충전소명,충전기ID,충전기용량,충전기명,충전소구분,충전방식
강원,강릉,교동e-편한세상 아파트,3212,50,급속01,아파트용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,교동e-편한세상 아파트,3213,7,완속01,아파트용,BC타입5핀(완속)
강원,강릉,교동e-편한세상 아파트,3214,7,완속02,아파트용,BC타입5핀(완속)
강원,강릉,강릉더샵 아파트,4324,50,급속01,아파트용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,강릉더샵 아파트,4325,7,완속01,아파트용,BC타입5핀(완속)
강원,강릉,청송 아파트,4329,50,급속01,아파트용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,강남동주민센터,5948,50,급속01,공용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,강릉농협 하나로마트,5949,50,급속01,공용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,강릉축협 하나로마트,5950,50,급속01,공용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,강원양돈농협 하나로마트,5951,50,급속01,공용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,성덕동주민센터,5952,50,급속01,공용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,송정동주민센터,5953,50,급속01,공용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,이마트 강릉점,5954,50,급속01,공용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,이마트 강릉점,5955,50,급속02,공용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,평창영월정선 축협,5956,50,급속01,공용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,평창영월정선 축협,5957,50,급속02,공용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,해람중학교옆 공영주차장,5958,50,급속01,공용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,홈플러스 강릉점,5959,50,급속01,공용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,강릉 교동2차현대아파트,6554,50,급속01,아파트용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,강릉 교동2차현대아파트,6555,7,완속01,아파트용,BC타입5핀(완속)
강원,강릉,삼우골든아파트,6556,7,완속01,아파트용,BC타입5핀(완속)
강원,강릉,서희스타힐스리버파크,6557,50,급속01,아파트용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,녹색도시체험센터,6669,50,급속01,공용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,녹색도시체험센터,6670,50,급속02,공용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,녹색도시체험센터,6671,50,급속03,공용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,교1동주민센터,6672,50,급속01,공용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,허균허난설헌기념공원,6673,50,급속01,공용,DC차데모+DC콤보+AC3상(급속)
강원,강릉,홍제동 공영주차장,6674,50,급속01,공용,DC차데모+DC콤보+AC3상(급속)
